OBJECTID_1 *,Shape *,StateStructureId,BridgeNumber,BridgeName,FacilitiesCarried,FeaturesIntersected,Owner,Custodian,CityName,CountyName,RegionName,Latitude,Longitude,ParallelStructure,HistoricSignificanceNRHP,HistoricalSignificanceHAER,HistoricSignificanceLocal,YearBuilt,YearRebuilt,StructureLengthByFeet,MaximumSpanLengthFeet,ScreeningLengthBy10th,LanesOn,CurbToCurbWidthFeetAnd10th,OutToOutWidthFeetAnd10th,SidewalkCurbWidthLeftBy10th,SidewalkCurbWidthRightBy10th,MinVertClrncOverDeck,MinVertClrncUnderBridge,MainSpanDesign,MainSpanMaterial,ApproachSpanDesign,ApproachSpanMaterial,SpanType,NumberOfSpans,ServiceOn,ServiceUnder,DesignLoadCode,OpenClosedPosted,OnUnderCode,FederalHighwayClass,ServiceLevel,RouteIdentifier,StateRouteMilepost,AheadBackIndicator,InventoryDirection,Detour,BaseHighwayNetwork,NationalTruckNetwork,STRAHNET,FederalLandsHighway,DeckCondition,SuperstructureCondition,SubstructureCondition,BridgeOverallConditionState,CulvertCondition,ScourCondition,NumberOfUtilites,InspectionFrequency,InspectionDate,InspectionDueDate,PrpsedImprvTypeOfWork,PrpsedImprvWorkMethod,PrpsedImprvStructureLgthByFT,PrpsedImprvRoadwayWdthByFT,PrpsedImprvCostPerSFDeck,PrpsedImprvStructureCost,PrpsedImprvRoadwayCost,PrpsedImprvEngMiscCost,PrpsedImprvTotalCost,PrpsedImprvEstimateYear,TunnelPortalShape,TunnelShape,TunnelLengthByFeet,TunnelGroundConditions,TunnelNumberOfBores,TunnelServiceLevel,TunnelOtherRestriction,TunnelHazardousMatRest,TunnelHeightRestrictionFlag,TunnelMinVertClrncOverRdBy10,TunnelComplexCode,updated_date,Structure ID,ObjectID,Min Need Year
1,Point,000000BA,125/31.25,BROWN RD CREEK,SR 125,BROWN ROAD CREEK,Washington State,Washington State,UNINCORPORATED,Walla Walla County,SC,46.235527,-118.37114,N,5,<Null>,<Null>,1900,0,16,14,<Null>,2,31,31.5,0,0,9999,0,2,1,0,0,CESB CS,1,1,5,0,A,1,3,1,125,18.97,<Null>,B,9,0,N,0,0,7,6,6,Fair,9,3,1,<Null>,<Null>,<Null>,35,1,16,33,475,126,25,100,251,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000BA,618,2024
2,Point,000000BE,142/13.25,SPRING CREEK,SR 142,SPRING CREEK,Washington State,Washington State,UNINCORPORATED,Klickitat County,SW,45.830139,-120.905609,N,5,<Null>,<Null>,1950,0,22,20,19,2,23.5,24,0,0,9999,0,2,3,0,0,SRB,1,1,5,0,A,1,3,1,142,29.92,<Null>,B,6,0,N,0,0,5,7,5,Fair,9,3,0,<Null>,<Null>,<Null>,35,1,22,28,475,146,29,117,293,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000BE,286,2024
3,Point,000000BG,161/3,OHOP CREEK,SR 161,OHOP CREEK,Washington State,Washington State,EATONVILLE,Pierce County,OL,46.876419,-122.281746,N,5,<Null>,<Null>,1900,0,56,45,51,2,30,32,0,0,9999,0,4,2,0,0,CTB,1,1,5,2,A,1,3,1,161,4.27,<Null>,B,3,1,Y,0,0,6,7,6,Fair,9,3,2,24,9/30/2021,9/30/2023,35,1,56,33,400,370,74,296,739,2014,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000BG,682,2024
4,Point,000000BI,195/24,S FK PALOUSE R CT HOUSE,US 195,S FK PALOUSE RIVER,Washington State,Washington State,COLFAX,Whitman County,EA,46.883999,-117.364532,N,5,<Null>,<Null>,1923,0,228,114,99.9,4,56,80,10,10,9999,0,4,2,0,0,CTB,2,5,5,0,A,1,2,1,195,38.09,<Null>,B,8,1,Y,0,0,6,4,6,Poor,9,8,0,24,7/19/2022,7/19/2024,35,1,228,58,475,3140,628,2512,6281,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000BI,50,2024
5,Point,000000BK,203/12,CREEK,SR 203,CREEK,Washington State,Washington State,UNINCORPORATED,King County,NW,47.606335,-121.913918,N,5,<Null>,<Null>,1945,0,52,16,47,2,30,30.4,0,0,9999,0,2,7,0,0,TTC,3,1,5,0,A,1,3,1,203,3,<Null>,B,12,1,Y,0,0,6,7,6,Fair,9,U,0,24,7/18/2023,7/18/2025,35,1,52,34,475,420,84,336,840,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000BK,848,2024
6,Point,000000BL,203/20,HARRIS CREEK,SR 203,HARRIS CREEK,Washington State,Washington State,UNINCORPORATED,King County,NW,47.678055,-121.907333,N,5,<Null>,<Null>,1945,0,58,20,53,2,29.7,30.2,0,0,9999,0,2,7,0,0,TTC,3,1,5,0,A,1,3,1,203,8.12,<Null>,B,13,1,Y,0,0,7,6,7,Fair,9,U,1,24,7/18/2023,7/18/2025,35,1,58,30,475,413,83,330,826,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000BL,850,2024
7,Point,000000CN,508/14,KEARNEY CREEK,SR 508,KEARNEY CREEK,Washington State,Washington State,UNINCORPORATED,Lewis County,SW,46.610634,-122.581718,N,5,<Null>,<Null>,1937,0,32,16,30.8,2,21.6,22.6,0,0,9999,0,2,7,0,0,TTC,2,1,5,0,A,1,3,1,508,15.97,<Null>,B,14,0,N,0,0,7,7,6,Fair,9,U,0,24,3/2/2023,3/2/2025,35,1,32,29,475,220,44,176,441,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000CN,1316,2024
8,Point,000000CO,508/16,MILL CREEK,SR 508,MILL CREEK,Washington State,Washington State,UNINCORPORATED,Lewis County,SW,46.604591,-122.534195,N,5,<Null>,<Null>,1937,0,32,16,31.5,2,21.7,21.7,0,0,9999,0,2,7,0,0,TTC,2,1,5,0,A,1,3,1,508,18.32,<Null>,B,35,0,N,0,0,6,7,6,Fair,9,U,0,24,3/1/2023,3/1/2025,35,1,32,26,475,198,40,158,395,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000CO,1317,2024
9,Point,000000CQ,508/23,ALDER CREEK,SR 508,ALDER CREEK,Washington State,Washington State,UNINCORPORATED,Lewis County,SW,46.604279,-122.45108,N,5,<Null>,<Null>,1937,0,88,29,83,2,19.6,21,0,0,9999,0,2,7,0,0,TTC,3,1,5,0,A,1,3,1,508,22.65,<Null>,B,35,0,N,0,0,6,6,5,Fair,9,3,1,24,2/17/2022,2/17/2024,35,1,88,23,475,480,96,384,961,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000CQ,1320,2024
10,Point,000000CR,508/26.25,CREEK,SR 508,CREEK,Washington State,Washington State,UNINCORPORATED,Lewis County,SW,46.588306,-122.425552,N,5,<Null>,<Null>,1941,0,20,18,17.9,2,20.3,21.5,0,0,9999,0,2,7,0,0,TTC,1,1,5,0,A,1,3,1,508,24.36,<Null>,B,35,0,N,0,0,7,6,6,Fair,9,3,0,<Null>,<Null>,<Null>,35,1,20,29,400,116,23,93,232,2014,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,000000CR,1321,2024
