county,year,population,source,rate
Adams,1961,10100,Intercensal Estimate,0.01722227817504285
Asotin,1961,12700,Intercensal Estimate,-0.016190254860949715
Benton,1961,62300,Intercensal Estimate,0.003705493797325543
Chelan,1961,40600,Intercensal Estimate,-0.0035342627135284133
Clallam,1961,30400,Intercensal Estimate,0.012590766771034545
Clark,1961,96800,Intercensal Estimate,0.03188393437729853
Columbia,1961,4600,Intercensal Estimate,0.006784854453928624
Cowlitz,1961,58800,Intercensal Estimate,0.01728343800280263
Douglas,1961,15100,Intercensal Estimate,0.01410342511752849
Ferry,1961,4100,Intercensal Estimate,0.054255592697351585
Franklin,1961,23500,Intercensal Estimate,0.006768914403221693
Garfield,1961,2900,Intercensal Estimate,-0.025537634408602128
Grant,1961,46100,Intercensal Estimate,-0.008111539040815852
Grays Harbor,1961,55000,Intercensal Estimate,0.009822821995776998
Island,1961,20300,Intercensal Estimate,0.03371015378348097
Jefferson,1961,9800,Intercensal Estimate,0.016702977487291104
King,1961,952300,Intercensal Estimate,0.01848742371771972
Kitsap,1961,85500,Intercensal Estimate,0.015728948869036197
Kittitas,1961,20900,Intercensal Estimate,0.021156007231152518
Klickitat,1961,13300,Intercensal Estimate,-0.011519881085098493
Lewis,1961,42300,Intercensal Estimate,0.010559510726742882
Lincoln,1961,10700,Intercensal Estimate,-0.020056781756571107
Mason,1961,16500,Intercensal Estimate,0.015322134022521583
Okanogan,1961,25500,Intercensal Estimate,-0.0007836990595611049
Pacific,1961,14500,Intercensal Estimate,-0.011857707509881465
Pend Oreille,1961,6700,Intercensal Estimate,-0.030951692218686766
Pierce,1961,329100,Intercensal Estimate,0.02335271619142376
San Juan,1961,2900,Intercensal Estimate,0.009749303621169991
Skagit,1961,51300,Intercensal Estimate,-0.0009737098344693162
Skamania,1961,5200,Intercensal Estimate,-0.0013443441521029387
Snohomish,1961,179900,Intercensal Estimate,0.0447215140622188
Spokane,1961,278700,Intercensal Estimate,0.0013185644533706409
Stevens,1961,18000,Intercensal Estimate,0.0064862446879891955
Thurston,1961,56800,Intercensal Estimate,0.03180802557721307
Wahkiakum,1961,3500,Intercensal Estimate,0.021599532983070713
Walla Walla,1961,42000,Intercensal Estimate,-0.004621400639886253
Whatcom,1961,71300,Intercensal Estimate,0.013979549753260212
Whitman,1961,31900,Intercensal Estimate,0.020375523782106608
Yakima,1961,145100,Intercensal Estimate,-8.269474612709882e-05
Adams,1962,10300,Intercensal Estimate,0.01980198019801982
Asotin,1962,13000,Intercensal Estimate,0.023622047244094446
Benton,1962,62800,Intercensal Estimate,0.008025682182985605
Chelan,1962,40700,Intercensal Estimate,0.0024630541871921707
Clallam,1962,31000,Intercensal Estimate,0.019736842105263053
Clark,1962,99900,Intercensal Estimate,0.03202479338842967
Columbia,1962,4400,Intercensal Estimate,-0.04347826086956519
Cowlitz,1962,59800,Intercensal Estimate,0.017006802721088343
Douglas,1962,15000,Intercensal Estimate,-0.0066225165562914245
Ferry,1962,3800,Intercensal Estimate,-0.07317073170731703
Franklin,1962,23900,Intercensal Estimate,0.017021276595744705
Garfield,1962,2900,Intercensal Estimate,0.0
Grant,1962,46700,Intercensal Estimate,0.013015184381778733
Grays Harbor,1962,55400,Intercensal Estimate,0.0072727272727273196
Island,1962,20900,Intercensal Estimate,0.029556650246305383
Jefferson,1962,9700,Intercensal Estimate,-0.010204081632653073
King,1962,971600,Intercensal Estimate,0.02026672267142704
Kitsap,1962,86700,Intercensal Estimate,0.01403508771929829
Kittitas,1962,21200,Intercensal Estimate,0.014354066985645897
Klickitat,1962,13300,Intercensal Estimate,0.0
Lewis,1962,42500,Intercensal Estimate,0.004728132387706863
Lincoln,1962,10600,Intercensal Estimate,-0.009345794392523366
Mason,1962,17100,Intercensal Estimate,0.036363636363636376
Okanogan,1962,25400,Intercensal Estimate,-0.0039215686274509665
Pacific,1962,14700,Intercensal Estimate,0.01379310344827589
Pend Oreille,1962,6800,Intercensal Estimate,0.014925373134328401
Pierce,1962,337300,Intercensal Estimate,0.024916438772409677
San Juan,1962,2900,Intercensal Estimate,0.0
Skagit,1962,51600,Intercensal Estimate,0.005847953216374213
