OBJECTID,Owner,SR,Display,ShapeSTLength
1,County, ,"Puget Island to Westport, OR",7193.53861168323
2,State,163fy,Point Defiance to Tahlequah,9524.38054398737
3,State,021fy,Keller South to Keller North,6318.31126848422
4,Tribal-BIA, ,Gifford to Inchelium,4087.56058963314
5,County, ,Lummi Island to Gooseberry Point,4925.3927728222
6,Private, ,"Port Angeles to Victoria, B.C.",122745.503328525
7,County, ,Steilacoom to Anderson Island,19782.2418974907
8,State,160fy,Fauntleroy to Southworth,25909.2787666664
9,State,304fy,Seattle to Bremerton,85376.677296811
10,State,020fy,Port Townsend to Coupeville,29492.6078258783
11,State,104fy,Edmonds to Kingston,29267.245571112
12,State,305fy,Seattle to Bainbridge Island,45553.3017579028
13,County, ,Anacortes to Guemes Island,3293.94413750991
14,Provincial,017,Tsawwassen to Swartz Bay,148558.261568902
15,County,339,Seattle to Vashon,54012.6614006614
16,State,020SPfy,San Juan Islands,99664.2166161966
17,State,160fy,Fauntleroy to Vashon,17905.4891462982
18,State,160fy,Southworth to Vashon,9356.58888074966
19,Private, ,Field's Point to Prince Creek,132679.697679376
20,Private, ,Chelan to Field's Point ,53795.2048170133
21,Private, ,Prince Creek to Lucerne,37343.3431979141
22,Private, ,Moore Point to Stehekin,30386.5518251232
23,Private, ,Lucerne to Moore Point,13477.2304073058
24,Private, ,Field's Point to Stehekin,206455.205671999
25,Private, ,Field's Point to Lucerne,166183.391773037
26,County,,Downtown Seattle to West Seattle,11335.921482577
28,County,,Port Orchard to Bremerton,8091.91791722667
29,Transit Dist,,Annapolis to Bremerton,5055.51873748993
30,State,020SPfy,"Anacortes to Sidney, B.C.",166014.296793417
31,State,020SPfy,,8567.92104237219
32,State,525fy,Mukilteo to Clinton,15786.7117169572
