Origin County,Destination County,Origin MPO,Destination MPO,Commodity Group,Trade Type,Mode,Year,Tons,Value,ObjectId,Tons (millions)
10,53003,10,PaRTPO,Last-Mile Delivery,1,1,2022,5.2110590763032E-05,0.000130018189631624,61739,5.2110590763032E-08
10,53005,10,BFCG,Food Manufacturing,1,1,2020,1.38470987849734E-05,0.000399170690920341,61722,1.38470987849734E-08
10,53005,10,BFCG,High-Tech Manufacturing,1,5,2040,0.00359198720515445,1.19013700257149,61947,3.59198720515445E-06
10,53005,10,BFCG,Last-Mile Delivery,2,5,2040,0.0011867928737756,0.00246614190581034,61771,1.1867928737756E-06
10,53007,10,CDTC,High-Tech Manufacturing,1,5,2017,0.00122571035372731,0.406186055946433,61768,1.22571035372731E-06
10,53007,10,CDTC,High-Tech Manufacturing,1,5,2050,0.00201824395273734,0.668887014201613,61834,2.01824395273734E-06
10,53007,10,CDTC,High-Tech Manufacturing,3,4,2017,8.31475611728952E-07,0.000941474944127682,61839,8.31475611728952E-10
10,53007,10,CDTC,Industrial Manufacturing,1,1,2017,5.68070660530705E-06,0.00100426777486678,61853,5.68070660530705E-09
10,53017,10,CDTC,Transportation Equipment,3,1,2020,3.07493211444199E-05,0.00183165036645181,62478,3.07493211444199E-08
10,53021,10,BFCG,Clothing and Misc. Manufacturing,3,1,2050,1.42902394259119E-08,3.79405856757961E-05,62682,1.42902394259119E-11
10,53023,10,PaRTPO,Food Manufacturing,2,2,2050,0.0193438248371239,0.0310183690548099,1189131,1.93438248371239E-05
10,53027,10,SWRTPO,High-Tech Manufacturing,3,4,2050,7.49296212238506E-07,0.000874915722220292,63007,7.49296212238506E-10
10,53027,10,SWRTPO,Last-Mile Delivery,1,5,2030,6.24154979185649E-06,0.00101802420643549,63153,6.24154979185649E-09
10,53029,10,IRTPO,Clothing and Misc. Manufacturing,1,1,2022,0.00173887173933928,0.0084707648237423,63076,1.73887173933928E-06
10,53029,10,IRTPO,Food Manufacturing,1,1,2040,0.00611197535929765,0.0121246296265039,63096,6.11197535929765E-06
10,53029,10,IRTPO,Industrial Manufacturing,1,5,2020,0.00326476463977342,0.149212903227508,63138,3.26476463977342E-06
10,53031,10,PRTPO,High-Tech Manufacturing,1,1,2022,0.000242372508594207,0.00058799041450689,63001,2.42372508594207E-07
10,53031,10,PRTPO,High-Tech Manufacturing,3,4,2020,1.89280672394143E-07,0.000206804907979968,63049,1.89280672394143E-10
10,53033,10,PSRC,High-Tech Manufacturing,3,4,2022,0.00337631363771015,1.26888679892999,63175,3.37631363771015E-06
10,53035,10,PSRC,Agriculture & Seafood,3,4,2020,0.000171695312177223,0.000693932461094214,63525,1.71695312177223E-07
10,53035,10,PSRC,Food Manufacturing,2,5,2022,0.295743306236485,0.474518043939607,63556,0.000295743306236485
10,53039,10,RTC,Clothing and Misc. Manufacturing,1,1,2050,0.000279625710194635,0.000811116031495139,63464,2.79625710194635E-07
10,53041,10,SWRTPO,Agriculture & Seafood,3,2,2022,4.44753170392899,0.827402209876207,1189308,0.00444753170392899
10,53045,10,PRTPO,Agriculture & Seafood,2,5,2020,0.0465482087601346,0.0746563998240438,63640,4.65482087601346E-05
10,53047,10,OCOGRTPO,Food Manufacturing,2,2,2020,0.000697434112067,0.0011192965562561,1189433,6.97434112067E-07
10,53047,10,OCOGRTPO,Food Manufacturing,3,1,2017,0.0465255542626746,0.0693764529955131,63913,4.65255542626746E-05
10,53049,10,SWRTPO,Last-Mile Delivery,1,1,2050,0.000114902995548374,0.000286698108400342,64189,1.14902995548374E-07
