,dms_orig,dms_dest,sctg2,dms_mode,Year,tons,economic_growth
0,53-Washington,53-Washington,01-Live animals/fish,1-Truck,2017,308.0337,Base
1,53-Washington,53-Washington,02-Cereal grains,1-Truck,2017,15313.5883,Base
2,53-Washington,53-Washington,02-Cereal grains,2-Rail,2017,2753.2161,Base
3,53-Washington,53-Washington,02-Cereal grains,3-Water,2017,1339.2941,Base
4,53-Washington,53-Washington,02-Cereal grains,5-Multiple modes & mail,2017,0.5899,Base
5,53-Washington,53-Washington,03-Other ag prods.,1-Truck,2017,13146.5554,Base
6,53-Washington,53-Washington,03-Other ag prods.,3-Water,2017,6.0063,Base
7,53-Washington,53-Washington,03-Other ag prods.,5-Multiple modes & mail,2017,1.5839,Base
8,53-Washington,53-Washington,04-Animal feed,1-Truck,2017,3117.4986,Base
9,53-Washington,53-Washington,04-Animal feed,2-Rail,2017,657.0515,Base
10,53-Washington,53-Washington,04-Animal feed,5-Multiple modes & mail,2017,35.0204,Base
11,53-Washington,53-Washington,05-Meat/seafood,1-Truck,2017,761.6768,Base
12,53-Washington,53-Washington,05-Meat/seafood,5-Multiple modes & mail,2017,93.9687,Base
13,53-Washington,53-Washington,06-Milled grain prods.,1-Truck,2017,1935.8921,Base
14,53-Washington,53-Washington,06-Milled grain prods.,5-Multiple modes & mail,2017,5.927,Base
15,53-Washington,53-Washington,07-Other foodstuffs,1-Truck,2017,8533.1121,Base
16,53-Washington,53-Washington,07-Other foodstuffs,2-Rail,2017,1.0671,Base
17,53-Washington,53-Washington,07-Other foodstuffs,5-Multiple modes & mail,2017,60.6461,Base
18,53-Washington,53-Washington,08-Alcoholic beverages,1-Truck,2017,2317.2551,Base
19,53-Washington,53-Washington,08-Alcoholic beverages,2-Rail,2017,37.4784,Base
20,53-Washington,53-Washington,08-Alcoholic beverages,5-Multiple modes & mail,2017,6.5492,Base
21,53-Washington,53-Washington,09-Tobacco prods.,1-Truck,2017,3.3259,Base
22,53-Washington,53-Washington,10-Building stone,1-Truck,2017,118.192,Base
23,53-Washington,53-Washington,11-Natural sands,1-Truck,2017,9738.6138,Base
24,53-Washington,53-Washington,11-Natural sands,2-Rail,2017,1333.9191,Base
25,53-Washington,53-Washington,11-Natural sands,5-Multiple modes & mail,2017,89.6102,Base
26,53-Washington,53-Washington,12-Gravel,1-Truck,2017,44595.8617,Base
27,53-Washington,53-Washington,12-Gravel,2-Rail,2017,3186.0432,Base
28,53-Washington,53-Washington,12-Gravel,3-Water,2017,1.2519,Base
